frame,time_s,local_scale,cumulative_zoom_raw,cumulative_zoom_display,anchor_scale,zoom_velocity_log,zoom_velocity,zoom_jerk,correlation
19,0.31666666666666665,1.001160341997545,0.007867890635548571,0.007867890635548571,1.0003152631554095,0.0011596693210755874,0.0011603419975450002,0.00018316564286720944,0.6802447306079629
20,0.3333333333333333,1.0012764845591426,0.009143561180920053,0.009143561180920053,0.9999754194896641,0.0012756705453714815,0.0012764845591426432,0.00011600122429589405,0.6958345413796696
21,0.35,1.0005622111658432,0.009705614365275625,0.009705614365275625,0.9997994316529397,0.000562053184355572,0.0005622111658432072,0.0007136173610159095,0.6597365707821317
22,0.36666666666666664,1.0006840272421211,0.010389407767391988,0.010389407767391988,1.0001414128507795,0.0006837934021163634,0.0006840272421211324,0.00012174021776079134,0.6741429875220781
23,0.38333333333333336,1.0008075650353019,0.011196646897498707,0.011196646897498707,1.0000826243664676,0.000807239130106719,0.0008075650353018826,0.00012344572799035563,0.6766323267088996
24,0.4,1.000772902253198,0.01196925061556588,0.01196925061556588,0.9999926364787733,0.0007726037180671742,0.0007729022531979268,3.463541203954483e-05,0.704098031550278
25,0.4166666666666667,1.000760591749013,0.012729553261258322,0.012729553261258322,1.0005430158390114,0.0007603026456924413,0.0007605917490129954,1.2301072374732878e-05,0.6761129206198233
26,0.43333333333333335,1.0005675925266688,0.013296984768215158,0.013296984768215158,0.9999700522349467,0.000567431506956836,0.0005675925266688253,0.0001928711387356053,0.6865930213457272
27,0.45,1.000499622888475,0.013796482886731751,0.013796482886731751,1.0009544319108021,0.0004994981185165927,0.0004996228884750487,6.793338844024324e-05,0.7003494655938796
28,0.4666666666666667,0.9999015287227094,0.013698006760826656,0.013698006760826656,1.0000484162212084,-9.8476125905096e-05,-9.847127729056826e-05,0.0005979742444216888,0.733389952123901
29,0.48333333333333334,1.0005305616263052,0.014228427689075954,0.014228427689075954,0.9999485026206698,0.0005304209282492987,0.0005305616263051594,0.0006288970541543947,0.775984562061451
30,0.5,1.0000759075746057,0.014304332382847534,0.014304332382847534,1.0006371035203598,7.590469377158061e-05,7.590757460573805e-05,0.0004545162344777181,0.7439281568998172
31,0.5166666666666667,0.998983131721454,0.01328694674299834,0.01328694674299834,1.0003754848169875,-0.001017385639849193,-0.0010168682785459682,0.0010932903336207736,0.7944191535902612
32,0.5333333333333333,1.0004545769365194,0.013741420390722752,0.013741420390722752,1.0002530984498725,0.00045447364772441143,0.0004545769365194019,0.0014718592875736043,0.7657343967166947
33,0.55,0.9986737343646336,0.012414274486689084,0.012414274486689084,0.9999888381439179,-0.0013271459040336668,-0.0013262656353664193,0.0017816195517580782,0.6932455650376684
34,0.5666666666666667,1.000426377579411,0.012840561193009994,0.012840561193009994,1.0003504825199707,0.0004262867063209103,0.000426377579411108,0.001753432610354577,0.7410700437169017
35,0.5833333333333334,0.999452385108453,0.01229279630566584,0.01229279630566584,0.9999836405348455,-0.0005477648873441534,-0.000547614891546977,0.0009740515936650637,0.6430364417293926
36,0.6,0.9996220183362797,0.011914743188870643,0.011914743188870643,0.9997019779098502,-0.0003780531167951957,-0.00037798166372027264,0.00016971177054895772,0.6154234848493412
